SN,Actual IP Delay (ms),Predicted IP Delay (ms),Absolute Difference (ms)
1,21.104097366333008,19.130219895487244,1.973877470845764
2,21.10505104064941,19.992973001080827,1.1120780395685834
3,20.967960357666016,20.336083258371218,0.6318770992947975
4,20.954132080078125,20.564145312164328,0.38998676791379694
5,20.95198631286621,20.82543133656145,0.1265549763047602
6,20.813941955566406,20.770985408944398,0.04295654662200832
7,20.863056182861328,20.73509834599463,0.12795783686669893
8,20.71094512939453,20.734463909320766,0.023518779926234856
9,20.69997787475586,20.64446305121237,0.05551482354348991
10,20.581960678100582,20.63964260605644,0.05768192795585847
11,20.56288719177246,20.57530409138053,0.012416899608069798
12,20.447969436645508,20.524795156688924,0.07682572004341637
13,20.43485641479492,20.443617090677435,0.008760675882516722
14,20.41912078857422,20.393389345827018,0.025731442747201072
15,20.28799057006836,20.360896334750578,0.07290576468221843
16,20.29609680175781,20.272458610634203,0.02363819112360588
17,20.156145095825195,20.233718425970437,0.07757333014524193
18,20.16806602478028,20.148892265297036,0.019173759483244623
19,20.023107528686523,20.10963896782414,0.08653143913761596
20,20.014047622680664,20.020538654534903,0.006491031854238827
21,19.87481117248535,19.96956620905621,0.09475503657085937
22,19.891977310180664,19.877222996001365,0.0147543141792994
23,19.765853881835938,19.837648625980364,0.07179474414442666
24,19.750118255615234,19.756063689328585,0.005945433713350212
25,19.639015197753903,19.701398909546697,0.062383711792794116
26,19.634008407592773,19.622346692358406,0.011661715234367875
27,19.49787139892578,19.57661295773505,0.07874155880926992
28,19.509077072143555,19.489193080516998,0.019883991626556963
29,19.34409141540528,19.446126795173768,0.10203537976848764
30,19.412994384765625,19.347430166362756,0.0655642184028693
31,19.28281784057617,19.326408293181885,0.04359045260571648
32,19.26589012145996,19.25329424238953,0.012595879070431693
33,19.082069396972656,19.200905793240963,0.118836396268307
34,19.102096557617188,19.089045860255283,0.013050697361904895
35,19.09089088439941,19.04376759284787,0.04712329155153938
36,18.964052200317383,19.016566916434385,0.052514716117002536
37,18.945932388305664,18.932887467371984,0.01304492093368026
38,18.810033798217773,18.879057878393724,0.06902408017595008
39,18.79191398620605,18.786867660764983,0.005046325441067978
40,18.652915954589844,18.73675822344012,0.08384226885027601
41,18.657922744750977,18.641972781097138,0.015949963653838495
