SN,IP Delay (ms)
1,19.26589012145996
2,19.082069396972656
3,19.102096557617188
4,19.09089088439941
5,18.964052200317383
6,18.945932388305664
7,18.810033798217773
8,18.79191398620605
9,18.652915954589844
10,18.657922744750977
11,18.533945083618164
12,18.538951873779297
13,18.421173095703125
14,18.414974212646484
15,18.4018611907959
16,18.254995346069336
17,18.24593544006348
18,18.15104484558105
19,18.129825592041016
20,18.04494857788086
21,18.049001693725582
22,17.889022827148438
23,17.90785789489746
24,17.745018005371094
25,17.735958099365234
26,17.602920532226562
27,17.60411262512207
28,17.49706268310547
29,17.488956451416016
30,17.336130142211914
31,17.319917678833008
32,17.174959182739258
33,17.18902587890625
34,17.189979553222656
35,17.05789566040039
36,17.035961151123047
37,16.89910888671875
38,16.888141632080078
39,16.74199104309082
40,16.735076904296875
41,16.620874404907227
42,16.604185104370117
43,16.47806167602539
44,16.47496223449707
45,16.451120376586914
46,16.33310317993164
47,16.34502410888672
48,21.23403549194336
49,21.088838577270508
50,21.08287811279297
51,20.934104919433597
52,20.93696594238281
53,20.80702781677246
54,20.81012725830078
55,20.78700065612793
56,20.67708969116211
57,20.615816116333008
58,20.53308486938477
59,20.548105239868164
60,20.412921905517575
61,20.408153533935547
62,20.27606964111328
63,20.28107643127441
64,20.124197006225582
65,20.082950592041016
66,20.069122314453125
67,19.97709274291992
68,19.97900009155273
69,19.852876663208008
70,19.824981689453125
71,19.694089889526367
72,19.69599723815918
73,19.565105438232425
74,19.572019577026367
75,19.437074661254883
76,19.437074661254883
77,19.29497718811035
78,19.29903030395508
79,19.14691925048828
80,19.1500186920166
81,19.002914428710938
82,19.00196075439453
83,18.8899040222168
84,18.877029418945312
85,18.876075744628903
86,18.73612403869629
87,18.73111724853516
88,18.60690116882324
89,18.589019775390625
90,18.477916717529297
91,18.47386360168457
92,18.350839614868164
93,18.33581924438477
94,18.204927444458008
95,18.204927444458008
96,18.22090148925781
97,18.082141876220703
98,18.108129501342773
99,17.943143844604492
100,17.950057983398438
101,17.831087112426758
102,17.795801162719727
103,17.668962478637695
104,17.683029174804688
105,17.53687858581543
106,17.533063888549805
107,17.518997192382812
108,17.393112182617188
109,17.405986785888672
110,17.249107360839844
111,17.268896102905273
112,17.122983932495117
113,17.132997512817383
114,16.97707176208496
115,17.001867294311523
116,16.859054565429688
117,16.862869262695312
118,16.707897186279297
119,16.709089279174805
120,16.59989356994629
121,16.58010482788086
122,16.457080841064453
123,16.458988189697266
124,16.339778900146484
125,16.327857971191406
126,16.31784439086914
127,16.19696617126465
128,21.093130111694336
129,21.107912063598636
130,21.012067794799805
131,20.99609375
132,20.86496353149414
133,20.838022232055664
134,20.73907852172852
135,20.74909210205078
136,20.59316635131836
137,20.573139190673828
138,20.55811882019043
139,20.423173904418945
140,20.43914794921875
141,20.298004150390625
142,20.29705047607422
143,20.158052444458008
144,20.16687393188477
145,20.023107528686523
146,20.01786231994629
147,20.01595497131348
148,19.880056381225582
149,19.87600326538086
150,19.7451114654541
151,19.72508430480957
152,19.60110664367676
153,19.61994171142578
154,19.501924514770508
155,19.45710182189941
156,19.3328857421875
157,19.31095123291016
158,19.331932067871094
159,19.178152084350582
160,19.199132919311523
161,19.042015075683597
162,19.05202865600586
163,18.95904541015625
164,18.934965133666992
165,18.800973892211918
166,18.805980682373047
167,18.64504814147949
168,18.691062927246094
169,18.54181289672852
170,18.568992614746094
171,18.41402053833008
172,18.39303970336914
173,18.28289031982422
174,18.24808120727539
175,18.21017265319824
176,18.16391944885254
177,18.01609992980957
178,18.007993698120117
179,17.9898738861084
180,17.868995666503906
181,17.856836318969727
182,17.737150192260742
183,17.714977264404297
184,17.5931453704834
185,17.580032348632812
186,17.43912696838379
187,17.467021942138672
188,17.470121383666992
189,17.319202423095703
190,17.335891723632812
191,17.203092575073242
192,17.177820205688477
193,17.063140869140625
194,17.0438289642334
195,16.946077346801758
196,16.941070556640625
197,16.85500144958496
198,16.84713363647461
199,16.715049743652344
200,16.72196388244629
